RTK number	Jisho meanings
770	bough, branch, twig, limb, counter for branches
771	limb, arms &amp; legs
772	stalk, stem
773	suspicious, mystery, apparition
774	lightly, trifling, unimportant
775	uncle, youth
776	coach, command, urge, lead, supervise
777	loneliness, quietly, mellow, mature, death of a priest
778	graceful, gentle, pure
779	anti-
780	slope, incline, hill
781	plank, board, plate, stage
782	return, answer, fade, repay
783	marketing, sell, trade
784	claw, nail, talon
785	gentle, peace, depravity
786	milk, breasts
787	floating, float, rise to surface
788	lewdness, licentiousness
789	leader, commander, general, admiral, or, and again, soon, from now on, just about
790	exhort, urge, encourage
791	dice, form, appearance, take, gather, coloring
792	pick, take, fetch, take up
793	vegetable, side dish, greens
794	accept, undergo, answer (phone), take, get, catch, receive
795	impart, instruct, grant, confer
796	love, affection, favourite
797	dark, not clear
798	pay, clear out, prune, banish, dispose of
799	wide, broad, spacious
800	be bent, slope, capture
801	broaden, extend, expand, enlarge
802	mineral, ore
803	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap
804	masculine, male, hero, leader, superiority, excellence
805	pedestal, a stand, counter for machines and vehicles
806	neglect, laziness
807	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve
808	melting, smelting
809	commence, begin
810	womb, uterus
811	window, pane
812	gone, past, quit, leave, elapse, eliminate, divorce
813	method, law, rule, principle, model, system
814	meeting, meet, party, association, interview, join
815	climax, arrive, proceed, reach, attain, result in
816	room, apartment, chamber, greenhouse, cellar
817	arrival, proceed, reach, attain, result in
818	doth, do, send, forward, cause, exert, incur, engage
819	mutually, reciprocally, together
820	abandon, throw away, discard, resign, reject, sacrifice
821	bring up, grow up, raise, rear
822	remove, withdraw, disarm, dismantle, reject, exclude
823	allot, fill
824	gun, arms
825	sulphur
826	current, a sink, flow, forfeit
827	license, sincerity, permit
828	tempt, seduce, instigate, promote
829	exit, leave, go out, come out, put out, protrude
830	mountain
831	bungling, clumsy, unskillful
832	boulder, rock, cliff
833	charcoal, coal
834	branch off, fork in road, scene, arena, theater
835	mountain peak, mountain pass, climax, crest, (kokuji)
836	crumble, die, demolish, level
837	secrecy, density (pop), minuteness, carefulness
838	honey, nectar, molasses
839	storm, tempest
840	promontory, cape, spit
841	cliff, bluff, precipice
842	enter, insert
843	crowded, mixture, in bulk, included, (kokuji)
844	part, minute of time, segment, share, degree, one&#39;s lot, duty, understand, know, rate, 1%, chances, shaku/100
845	poverty, poor
846	distribute, disseminate, partition, understand
847	public, prince, official, governmental
848	pine tree
849	venerable old man
850	sue, accuse
851	valley
852	bathe, be favored with, bask in
853	contain, form, looks
854	melt, dissolve, thaw
855	longing, covetousness, greed, passion, desire, craving
856	abundant, rich, fertile
857	lead
858	run alongside, follow along, run along, lie along
859	prize, reward, praise
860	party, faction, clique
861	public chamber, hall
862	usual, ordinary, normal, common, regular, continually, always, long-lasting
863	skirt
864	manipulate, rule, administer, conduct, palm of hand
865	pelt, skin, hide, leather, skin radical (no. 107)
866	waves, billows, Poland
867	old woman, grandma, wet nurse
868	expose, open
869	rend, rip, tear, break, destroy, defeat, frustrate
870	incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
871	remainder, leftover, balance
872	martyrdom, follow by resigning
873	particularly, especially, exceptionally
874	augment, increase, multiply, raise
875	file, row, rank, tier, column
876	split, rend, tear
877	ardent, violent, vehement, furious, severe, extreme
878	death, die
879	interment, bury, shelve
880	wink, blink, twinkle
881	ear
882	take, fetch, take up
883	purport, gist, elegance, interest, proceed to, tend, become
884	utmost, most, extreme
885	snapshot, take pictures
886	shame, dishonor
887	post, employment, work
888	holy, saint, sage, master, priest'
889	daring, brave, bold, sad, tragic, pitiful
890	listen, headstrong, naughty, careful inquiry
891	pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast
892	ridicule, laziness
893	cartoon, involuntarily, unrestrained, in spite of oneself, corrupt
894	buy
895	placement, put, set, deposit, leave behind, keep, employ, pawn
896	penalty, punishment
897	rather, preferably, peaceful, quiet, tranquility
898	voiced, uncleanness, wrong, nigori, impurity
899	ring, circle, link, wheel
900	send back, return
901	husband, man
902	aid, help, assist
903	mountain stream, valley
904	standard, measure
905	exchange, spare, substitute, per-
906	approve, praise, title or inscription on picture, assist, agree with
907	submerge, conceal, hide, lower (voice), hush
908	lose, error, fault, disadvantage, loss
909	iron
910	transfer, alternation
911	retainer, subject
912	princess
913	storehouse, hide, own, have, possess
914	entrails, viscera, bowels
915	intelligent, wise, wisdom, cleverness
916	kidney
917	strict, hard, solid, tough, tight, reliable
918	look to, face, meet, confront, attend, call on
919	perusal, see
920	gigantic, big, large, great
921	repel, refuse, reject, decline
922	power, strength, strong, strain, bear up, exert
923	male
